province,station_name,icao,iata,synop,latitude,longitude,elevation_m,metar,nexrad,aviation,upper_air,auto_type,office_type,country
AB,ABEE AGDM,CXAF,,7128,54 17,112 58W,664,Yes,,,,,,CA
AB,ANDREW AGDM,CXAG,,7128,53 55,112 17W,625,Yes,,,,,,CA
AB,ATMORE AGDM,CXAJ,,7128,54 46,112 49W,574,Yes,,,,,,CA
AB,BANFF (MARS),CWZG,WZG,,51 12,115 32W,397,Yes,,,,,,CA
AB,BARNWELL AGDM,CXBW,,7134,49 48,112 18W,824,Yes,,,,,,CA
AB,BEAVERLODGE,CWBM,,7123,55 12,119 24W,745,Yes,,,,,,CA
AB,BODO AGDM,CXBA,,7121,52 07,110 06W,687,Yes,,,,,,CA
AB,BOW ISLAND,CWXL,WXL,7123,49 44,111 27W,817,Yes,,,,,,CA
AB,BOW VALLEY,CWXA,WXA,7123,51 04,115 04W,298,Yes,,,,,,CA
AB,BROCKET AGDM,CXBR,,7134,49 37,113 49W,073,Yes,,,,,,CA
AB,BROOKS (AUTOB),CWBO,WBO,7145,50 32,111 50W,747,Yes,,,,,,CA
AB,CALGARY INTNL AR,CYYC,YYC,7187,51 07,114 01W,084,Yes,,TAF,,,,CA
AB,CALGARY INTL,CPCI,,7139,51 07,114 01W,081,Yes,,,,,,CA
AB,CALGARY/SPRINGBA,CYBW,YBW,7186,51 06,114 22W,200,Yes,,TAF,,,,CA
AB,CARDSTON (AUT),CWFJ,WFJ,7115,49 12,113 16W,136,Yes,,,,,,CA
AB,CHAMPION AGDM,CXCP,,7121,50 17,113 21W,006,Yes,,,,,,CA
AB,CLARESHOLM (AUTO,CWDK,WDK,7123,50 01,113 37W,012,Yes,,,,,,CA
AB,CLEARDALE AGDM,CXCD,,7122,56 19,119 45W,630,Yes,,,,,,CA
AB,COLD LAKE (CAN,CYOD,YOD,7112,54 24,110 17W,544,Yes,,TAF,Military,,,CA
AB,CONSORT AGDM,CXCS,,7122,51 56,110 43W,772,Yes,,,,,,CA
AB,CORONATION(AUT),CWCT,WCT,,52 04,111 28W,791,Yes,,,,,,CA
AB,CROWSNEST,CWRT,WRT,7123,49 37,114 28W,303,Yes,,,,,,CA
AB,DAPP AGDM,CXDP,,7134,54 19,113 57W,614,Yes,,,,,,CA
AB,DEL BONITA AGDM,CXDB,,7122,49 03,112 49W,310,Yes,,,,,,CA
AB,DRUMHELLER EAST,CWDZ,WDZ,,51 25,112 40W,678,Yes,,,,,,CA
AB,EDMONTON INTL AR,CYEG,YEG,7112,53 17,113 34W,723,Yes,,TAF,,,,CA
AB,EDMONTON INTL AR,CXEG,XEG,7115,53 18,113 36W,715,Yes,,,,,,CA
AB,EDMONTON MUNI,CXEC,XEC,7115,53 34,113 31W,671,Yes,,,,,,CA
AB,EDMONTON MUNICIP,CYXD,YXD,7187,53 34,113 31W,671,Yes,,TAF,,,,CA
AB,EDMONTON/NAMAO(M,CYED,YED,7112,53 40,113 28W,688,Yes,,TAF,Military,,,CA
AB,EDMONTON/STONY P,CWSE,WSE,7111,53 32,114 05W,766,,,,Rawinsonde,,,CA
AB,EDMONTON/STONY P,CZED,ZED,7112,53 33,114 06W,766,Yes,,,TAF,,,CA
AB,EDMONTON/STONY P,CXPS,,,53 33,114 06W,766,Yes,,,,,,CA
AB,EDMONTON/VILLENU,CZVL,,,53 40,113 51W,686,Yes,,TAF,,,,CA
AB,EDSON AIRPORT,CYET,YET,7188,53 34,116 28W,925,Yes,,,,,,CA
AB,EDSON,CZZJ,,7115,53 35,116 28W,927,Yes,,,,,,CA
